"Cantone","Nazionalità",,"Tasso di disoccupazione","Disoccupati registrati","Tasso di disoccupazione","Disoccupati registrati"
"Zurigo","stranieri",,"5.3","12'111","5.3","12'111"
"Zurigo","svizzeri",,"2.5","15'114","2.5","15'114"
"Berna","stranieri",,"5.5","4'900","5.5","4'900"
"Berna","svizzeri",,"1.8","8'758","1.8","8'758"
"Lucerna","stranieri",,"3.9","1'593","3.9","1'593"
"Lucerna","svizzeri",,"1.3","2'292","1.3","2'292"
"Uri","stranieri",,"2.1","53","2.1","53"
"Uri","svizzeri",,"0.4","59","0.4","59"
"Svitto","stranieri",,"3.4","617","3.4","617"
"Svitto","svizzeri",,"1.2","838","1.2","838"
"Obwaldo","stranieri",,"2.2","68","2.2","68"
"Obwaldo","svizzeri",,"0.5","85","0.5","85"
"Nidwaldo","stranieri",,"2.9","94","2.9","94"
"Nidwaldo","svizzeri",,"0.7","154","0.7","154"
"Glarona","stranieri",,"3.4","184","3.4","184"
"Glarona","svizzeri",,"1.4","232","1.4","232"
"Zugo","stranieri",,"3.9","717","3.9","717"
"Zugo","svizzeri",,"1.7","826","1.7","826"
"Friburgo","stranieri",,"5","1'888","5","1'888"
"Friburgo","svizzeri",,"2","2'578","2","2'578"
"Soletta","stranieri",,"5","1'569","5","1'569"
"Soletta","svizzeri",,"1.9","2'232","1.9","2'232"
"Basilea-Città","stranieri",,"4.6","1'780","4.6","1'780"
"Basilea-Città","svizzeri",,"2.8","1'675","2.8","1'675"
"Basilea-Campagna","stranieri",,"4.8","1'596","4.8","1'596"
"Basilea-Campagna","svizzeri",,"2.2","2'486","2.2","2'486"
"Sciaffusa","stranieri",,"5.1","595","5.1","595"
"Sciaffusa","svizzeri",,"2.2","691","2.2","691"
"Appenzello Esterno","stranieri",,"3.4","179","3.4","179"
"Appenzello Esterno","svizzeri",,"1.4","344","1.4","344"
"Appenzello Interno","stranieri",,"2","23","2","23"
"Appenzello Interno","svizzeri",,"0.5","39","0.5","39"
"San Gallo","stranieri",,"4.3","2'902","4.3","2'902"
"San Gallo","svizzeri",,"1.5","3'225","1.5","3'225"
"Grigioni","stranieri",,"2.3","527","2.3","527"
"Grigioni","svizzeri",,"0.7","639","0.7","639"
"Argovia","stranieri",,"5.6","4'972","5.6","4'972"
"Argovia","svizzeri",,"2.1","5'712","2.1","5'712"
"Turgovia","stranieri",,"3.9","1'475","3.9","1'475"
"Turgovia","svizzeri",,"1.4","1'583","1.4","1'583"
"Ticino","stranieri",,"4.6","2'303","4.6","2'303"
"Ticino","svizzeri",,"2.5","2'899","2.5","2'899"
"Vaud","stranieri",,"5.9","8'264","5.9","8'264"
"Vaud","svizzeri",,"3.5","8'891","3.5","8'891"
"Vallese","stranieri",,"4.9","2'126","4.9","2'126"
"Vallese","svizzeri",,"2.1","2'690","2.1","2'690"
"Neuchâtel","stranieri",,"7.4","1'970","7.4","1'970"
"Neuchâtel","svizzeri",,"4.2","2'768","4.2","2'768"
"Ginevra","stranieri",,"5.7","5'942","5.7","5'942"
"Ginevra","svizzeri",,"4.8","6'292","4.8","6'292"
"Giura","stranieri",,"9","505","9","505"
"Giura","svizzeri",,"3.6","1'114","3.6","1'114"
"Totale","",,"3","133'169","3","133'169"
