"Cantone","Metriche","Tasso di disoccupazione","Disoccupati registrati","Persone in cerca d'impiego","Persone in cerca d'impiego non disoccupate","Tasso di disoccupazione","Disoccupati registrati","Persone in cerca d'impiego","Persone in cerca d'impiego non disoccupate"
"Zurigo",,"3.3","27'225","34'156","6'931","3.3","27'225","34'156","6'931"
"Berna",,"2.4","13'658","18'385","4'727","2.4","13'658","18'385","4'727"
"Lucerna",,"1.7","3'885","6'756","2'871","1.7","3'885","6'756","2'871"
"Uri",,"0.6","112","257","145","0.6","112","257","145"
"Svitto",,"1.7","1'455","2'229","774","1.7","1'455","2'229","774"
"Obwaldo",,"0.7","153","319","166","0.7","153","319","166"
"Nidwaldo",,"1","248","436","188","1","248","436","188"
"Glarona",,"1.8","416","713","297","1.8","416","713","297"
"Zugo",,"2.3","1'543","2'615","1'072","2.3","1'543","2'615","1'072"
"Friburgo",,"2.7","4'466","7'837","3'371","2.7","4'466","7'837","3'371"
"Soletta",,"2.6","3'801","6'628","2'827","2.6","3'801","6'628","2'827"
"Basilea-Città",,"3.5","3'455","5'168","1'713","3.5","3'455","5'168","1'713"
"Basilea-Campagna",,"2.8","4'082","5'540","1'458","2.8","4'082","5'540","1'458"
"Sciaffusa",,"3","1'286","2'328","1'042","3","1'286","2'328","1'042"
"Appenzello Esterno",,"1.7","523","866","343","1.7","523","866","343"
"Appenzello Interno",,"0.7","62","102","40","0.7","62","102","40"
"San Gallo",,"2.2","6'127","10'363","4'236","2.2","6'127","10'363","4'236"
"Grigioni",,"1.1","1'166","2'590","1'424","1.1","1'166","2'590","1'424"
"Argovia",,"2.9","10'684","15'145","4'461","2.9","10'684","15'145","4'461"
"Turgovia",,"2","3'058","5'618","2'560","2","3'058","5'618","2'560"
"Ticino",,"3.1","5'202","8'675","3'473","3.1","5'202","8'675","3'473"
"Vaud",,"4.3","17'155","24'649","7'494","4.3","17'155","24'649","7'494"
"Vallese",,"2.8","4'816","8'027","3'211","2.8","4'816","8'027","3'211"
"Neuchâtel",,"5.1","4'738","6'350","1'612","5.1","4'738","6'350","1'612"
"Ginevra",,"5.2","12'234","15'497","3'263","5.2","12'234","15'497","3'263"
"Giura",,"4.4","1'619","2'375","756","4.4","1'619","2'375","756"
"Totale",,"3","133'169","193'624","60'455","3","133'169","193'624","60'455"
