"Cantone","Nazionalità","Classi d'età 15-24, 15-49, 50 anni e più",,,"Disoccupati registrati","Persone in cerca d'impiego","Persone in cerca d'impiego non disoccupate"
"Zurigo","stranieri","1","15-24 anni",,"1'015","1'178","163"
"Zurigo","stranieri","2","25-49 anni",,"8'846","11'188","2'342"
"Zurigo","stranieri","3","50 anni e più",,"2'250","3'018","768"
"Zurigo","stranieri","Totale",,,"12'111","15'384","3'273"
"Zurigo","svizzeri","1","15-24 anni",,"2'405","2'671","266"
"Zurigo","svizzeri","2","25-49 anni",,"8'207","10'083","1'876"
"Zurigo","svizzeri","3","50 anni e più",,"4'502","6'018","1'516"
"Zurigo","svizzeri","Totale",,,"15'114","18'772","3'658"
"Zurigo","Totale","",,,"27'225","34'156","6'931"
"Berna","stranieri","1","15-24 anni",,"597","722","125"
"Berna","stranieri","2","25-49 anni",,"3'316","4'679","1'363"
"Berna","stranieri","3","50 anni e più",,"987","1'458","471"
"Berna","stranieri","Totale",,,"4'900","6'859","1'959"
"Berna","svizzeri","1","15-24 anni",,"1'406","1'683","277"
"Berna","svizzeri","2","25-49 anni",,"4'457","5'814","1'357"
"Berna","svizzeri","3","50 anni e più",,"2'895","4'029","1'134"
"Berna","svizzeri","Totale",,,"8'758","11'526","2'768"
"Berna","Totale","",,,"13'658","18'385","4'727"
"Lucerna","stranieri","1","15-24 anni",,"217","306","89"
"Lucerna","stranieri","2","25-49 anni",,"1'053","1'925","872"
"Lucerna","stranieri","3","50 anni e più",,"323","671","348"
"Lucerna","stranieri","Totale",,,"1'593","2'902","1'309"
"Lucerna","svizzeri","1","15-24 anni",,"447","591","144"
"Lucerna","svizzeri","2","25-49 anni",,"1'106","1'836","730"
"Lucerna","svizzeri","3","50 anni e più",,"739","1'427","688"
"Lucerna","svizzeri","Totale",,,"2'292","3'854","1'562"
"Lucerna","Totale","",,,"3'885","6'756","2'871"
"Uri","stranieri","1","15-24 anni",,"6","10","4"
"Uri","stranieri","2","25-49 anni",,"29","82","53"
"Uri","stranieri","3","50 anni e più",,"18","38","20"
"Uri","stranieri","Totale",,,"53","130","77"
"Uri","svizzeri","1","15-24 anni",,"9","14","5"
"Uri","svizzeri","2","25-49 anni",,"29","57","28"
"Uri","svizzeri","3","50 anni e più",,"21","56","35"
"Uri","svizzeri","Totale",,,"59","127","68"
"Uri","Totale","",,,"112","257","145"
"Svitto","stranieri","1","15-24 anni",,"67","92","25"
"Svitto","stranieri","2","25-49 anni",,"379","636","257"
"Svitto","stranieri","3","50 anni e più",,"171","299","128"
"Svitto","stranieri","Totale",,,"617","1'027","410"
"Svitto","svizzeri","1","15-24 anni",,"118","137","19"
"Svitto","svizzeri","2","25-49 anni",,"380","539","159"
"Svitto","svizzeri","3","50 anni e più",,"340","526","186"
"Svitto","svizzeri","Totale",,,"838","1'202","364"
"Svitto","Totale","",,,"1'455","2'229","774"
"Obwaldo","stranieri","1","15-24 anni",,"4","8","4"
"Obwaldo","stranieri","2","25-49 anni",,"47","99","52"
"Obwaldo","stranieri","3","50 anni e più",,"17","37","20"
"Obwaldo","stranieri","Totale",,,"68","144","76"
"Obwaldo","svizzeri","1","15-24 anni",,"17","26","9"
"Obwaldo","svizzeri","2","25-49 anni",,"31","70","39"
"Obwaldo","svizzeri","3","50 anni e più",,"37","79","42"
"Obwaldo","svizzeri","Totale",,,"85","175","90"
"Obwaldo","Totale","",,,"153","319","166"
"Nidwaldo","stranieri","1","15-24 anni",,"13","18","5"
"Nidwaldo","stranieri","2","25-49 anni",,"60","112","52"
